TYP_GRP;OBS;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
METH_OBS;0;2,5,6,8,9,10,11,12,14,16,18,21,22,23,26,27,29,30,31,33,34,35,37,38,101,102,103,201,204,208,209,214,215,217,221,222,224,226
METH_OBS;1;4,7,207
METH_OBS;4;3,219
METH_OBS;6;205
METH_OBS;8;13,15,17,19,20,216
METH_OBS;12;211
METH_OBS;20;105,203,220
METH_OBS;23;24,25
STATUT_BIO;3;10,11,12,13,14,15,16,17,18,19,20,21,22,23,27,28,29,31,32,33,35,36,37,101,102,204,209,215,216,221,224,226
STATUT_BIO;4;26
ETAT_BIO;3;2
NAT_OBJ_GEO;St;1,2,3,4,10
NAT_OBJ_GEO;In;5,6,7,8,9,11,13,14
